 Total Nb of available Diagnostics: ndiagt=   230
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
   189 |SIrsSubl|  1 |       |SM      U1|kg/m^2/s        |Residual subl. freshwater flux, >0 taken from ocn
   190 |SIactLHF|  1 |       |SM      U1|W/m^2           |Actual latent heat flux over ice
   191 |SImaxLHF|  1 |       |SM      U1|W/m^2           |Maximum latent heat flux over ice
   192 |SIaQbOCN|  1 |       |SM      M1|m/s             |Potential HEFF rate of change by ocean ice flux
   193 |SIaQbATC|  1 |       |SM      M1|m/s             |Potential HEFF rate of change by atm flux over ice
   194 |SIaQbATO|  1 |       |SM      M1|m/s             |Potential HEFF rate of change by open ocn atm flux
   195 |SIdHbOCN|  1 |       |SM      M1|m/s             |HEFF rate of change by ocean ice flux
   196 |SIdSbATC|  1 |       |SM      M1|m/s             |HSNOW rate of change by atm flux over sea ice
   197 |SIdSbOCN|  1 |       |SM      M1|m/s             |HSNOW rate of change by ocean ice flux
   198 |SIdHbATC|  1 |       |SM      M1|m/s             |HEFF rate of change by atm flux over sea ice
   199 |SIdHbATO|  1 |       |SM      M1|m/s             |HEFF rate of change by open ocn atm flux
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   200 |SIdHbFLO|  1 |       |SM      M1|m/s             |HEFF rate of change by flooding snow
   201 |SIdAbATO|  1 |       |SM      M1|m^2/m^2/s       |Potential AREA rate of change by open ocn atm flux
   202 |SIdAbATC|  1 |       |SM      M1|m^2/m^2/s       |Potential AREA rate of change by atm flux over ice
   203 |SIdAbOCN|  1 |       |SM      M1|m^2/m^2/s       |Potential AREA rate of change by ocean ice flux
   204 |SIdA    |  1 |       |SM      M1|m^2/m^2/s       |AREA rate of change (net)
   205 |ADVxHEFF|  1 |   206 |UU      M1|m.m^2/s         |Zonal      Advective Flux of eff ice thickn
   206 |ADVyHEFF|  1 |   205 |VV      M1|m.m^2/s         |Meridional Advective Flux of eff ice thickn
   207 |SIuheff |  1 |   208 |UU      M1|m^2/s           |Zonal      Transport of eff ice thickn (centered)
   208 |SIvheff |  1 |   207 |VV      M1|m^2/s           |Meridional Transport of eff ice thickn (centered)
   209 |DFxEHEFF|  1 |   210 |UU      M1|m^2/s           |Zonal      Diffusive Flux of eff ice thickn
   210 |DFyEHEFF|  1 |   209 |VV      M1|m^2/s           |Meridional Diffusive Flux of eff ice thickn
   211 |ADVxAREA|  1 |   212 |UU      M1|m^2/m^2.m^2/s   |Zonal      Advective Flux of fract area
   212 |ADVyAREA|  1 |   211 |VV      M1|m^2/m^2.m^2/s   |Meridional Advective Flux of fract area
   213 |DFxEAREA|  1 |   214 |UU      M1|m^2/m^2.m^2/s   |Zonal      Diffusive Flux of fract area
   214 |DFyEAREA|  1 |   213 |VV      M1|m^2/m^2.m^2/s   |Meridional Diffusive Flux of fract area
   215 |ADVxSNOW|  1 |   216 |UU      M1|m.m^2/s         |Zonal      Advective Flux of eff snow thickn
   216 |ADVySNOW|  1 |   215 |VV      M1|m.m^2/s         |Meridional Advective Flux of eff snow thickn
   217 |DFxESNOW|  1 |   218 |UU      M1|m.m^2/s         |Zonal      Diffusive Flux of eff snow thickn
   218 |DFyESNOW|  1 |   217 |VV      M1|m.m^2/s         |Meridional Diffusive Flux of eff snow thickn
   219 |ADVxSSLT|  1 |   220 |UU      M1|psu.m^2/s       |Zonal      Advective Flux of seaice salinity
   220 |ADVySSLT|  1 |   219 |VV      M1|psu.m^2/s       |Meridional Advective Flux of seaice salinity
   221 |DFxESSLT|  1 |   222 |UU      M1|psu.m^2/s       |Zonal      Diffusive Flux of seaice salinity
   222 |DFyESSLT|  1 |   221 |VV      M1|psu.m^2/s       |Meridional Diffusive Flux of seaice salinity
   223 |SIpress |  1 |       |SM      M1|m^2/s^2         |SEAICE strength (with upper and lower limit)
   224 |SIzeta  |  1 |       |SM      M1|m^2/s           |SEAICE nonlinear bulk viscosity
   225 |SIeta   |  1 |       |SM      M1|m^2/s           |SEAICE nonlinear shear viscosity
   226 |SIsigI  |  1 |       |SM      M1|no units        |SEAICE normalized principle stress, component one
   227 |SIsigII |  1 |       |SM      M1|no units        |SEAICE normalized principle stress, component two
   228 |SIshear |  1 |       |SM      M1|s^{-1}          |SEAICE shear deformation
   229 |SIdelta |  1 |       |SM      M1|s^{-1}          |SEAICE Delta deformation
   230 |SItensil|  1 |       |SM      M1|m^2/s^2         |SEAICE maximal tensile strength
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
